"Nama Penginapan","Kota","Kategori Budget","Estimasi Harga per Malam ({{tanggal_check_in}} – {{tanggal_check_out}})","Catatan","Link Booking Traveloka","Link Booking Agoda","Link Booking Tiket.com","Google Maps Pin","Rating","Reviews Summary","Latitude","Longitude"
"Ibis Budget Semarang Tendean","Semarang","Budget","Rp 220.000 - Rp 400.000 (per kamar)","Perlu 2 kamar untuk 4 dewasa. Cek ketersediaan & harga pasti di tanggal trip.","{{link_traveloka}}","{{link_agoda}}","{{link_tiketcom}}","{{google_maps_pin}}","4.3","Reviews Available","-6.9777887","110.4135504"
"UTC Hotel Semarang","Semarang","Budget","Rp 200.000 - Rp 400.000 (per kamar)","Cek tipe kamar (Superior/Family) untuk 4 dewasa. Konfirmasi harga & ketersediaan.","{{link_traveloka}}","{{link_agoda}}","{{link_tiketcom}}","{{google_maps_pin}}","4.3","Reviews Available","-7.002965","110.4020419"
"OYO Properties (pilih yang dekat pusat kota)","Semarang","Budget","Mulai Rp 200.000 (per kamar)","Variasi harga & kualitas antar properti. Cek detail kamar & fasilitas untuk 4 dewasa.","{{link_traveloka}}","{{link_agoda}}","{{link_tiketcom}}","{{google_maps_pin}}","N/A","N/A","N/A","N/A"
"Hotel sekitar Simpang Lima (cari di booking platform)","Semarang","Budget","Rp 200.000 - Rp 400.000","Gunakan filter 4 tamu, parkir, AC, Wi-Fi di Traveloka/Agoda/Tiket.com/Booking.com.","{{link_traveloka}}","{{link_agoda}}","{{link_tiketcom}}","{{google_maps_pin}}","N/A","N/A","N/A","N/A"
"Cari di Booking Platform (Traveloka, Agoda, dll.)","Semarang","Menengah","Rp 400.000 - Rp 700.000","Gunakan filter 4 tamu, parkir, AC, Wi-Fi, dan lokasi (pusat kota/Simpang Lima). Cari hotel bintang 3/4.","{{link_traveloka}}","{{link_agoda}}","{{link_tiketcom}}","{{google_maps_pin}}","N/A","N/A","N/A","N/A"
"Contoh Brand: Harris, Santika, Quest, Aston (cek properti spesifik)","Semarang","Menengah","Rp 400.000 - Rp 700.000+","Harga bervariasi tergantung tipe kamar (Family Room/2 Kamar) & tanggal. Konfirmasi langsung.","{{link_traveloka}}","{{link_agoda}}","{{link_tiketcom}}","{{google_maps_pin}}","N/A","N/A","N/A","N/A"
"OYO Properties (pilih yang dekat pusat kota)","Solo","Budget","Mulai Rp 200.000 (per kamar)","Variasi harga & kualitas. Cek detail kamar & fasilitas untuk 4 dewasa (butuh 2 kamar?).","{{link_traveloka}}","{{link_agoda}}","{{link_tiketcom}}","{{google_maps_pin}}","N/A","N/A","N/A","N/A"
"Hotel Putri Sari","Solo","Budget","Estimasi Rp 200.000 - Rp 300.000+","Dekat Solo Grand Mall. Konfirmasi ketersediaan kamar untuk 4 dewasa & fasilitas.","{{link_traveloka}}","{{link_agoda}}","{{link_tiketcom}}","{{google_maps_pin}}","4.0","Reviews Available","-7.5646607","110.8044566"
"Hotel Brothers (Solo Baru)","Solo","Budget","Estimasi Rp 250.000 - Rp 400.000+","Cek tipe kamar untuk 4 dewasa, konfirmasi harga & ketersediaan. Parkir luas.","{{link_traveloka}}","{{link_agoda}}","{{link_tiketcom}}","{{google_maps_pin}}","4.4","Reviews Available","-7.6091386","110.811422"
"Horison Aziza Solo","Solo","Budget","Estimasi Rp 250.000 - Rp 350.000+","Di pusat kota. Konfirmasi ketersediaan kamar untuk 4 dewasa & fasilitas.","{{link_traveloka}}","{{link_agoda}}","{{link_tiketcom}}","{{google_maps_pin}}","4.5","Reviews Available","-7.5745393","110.8331224"
"Hotel di Booking Platform (Traveloka, Agoda, dll.)","Solo","Budget","Rp 200.000 - Rp 400.000","Gunakan filter 4 tamu, parkir, AC, Wi-Fi di platform booking.","{{link_traveloka}}","{{link_agoda}}","{{link_tiketcom}}","{{google_maps_pin}}","N/A","N/A","N/A","N/A"
"Cari di Booking Platform (Traveloka, Agoda, dll.)","Solo","Menengah","Rp 400.000 - Rp 700.000","Gunakan filter 4 tamu, parkir, AC, Wi-Fi, dan lokasi (pusat kota/Slamet Riyadi). Cari hotel bintang 3/4.","{{link_traveloka}}","{{link_agoda}}","{{link_tiketcom}}","{{google_maps_pin}}","N/A","N/A","N/A","N/A"
"Contoh Brand: Novotel, Ibis Styles, Santika, Harris, Quest, Aston (cek properti spesifik)","Solo","Menengah","Rp 400.000 - Rp 700.000+","Harga bervariasi tergantung tipe kamar (Family Room/2 Kamar) & tanggal. Konfirmasi langsung.","{{link_traveloka}}","{{link_agoda}}","{{link_tiketcom}}","{{google_maps_pin}}","N/A","N/A","N/A","N/A"
"Roemahkoe Heritage Hotel","Solo","Menengah","Estimasi Rp 400.000 - Rp 700.000+","Cek tipe kamar untuk 4 dewasa & harga di tanggal trip.","{{link_traveloka}}","{{link_agoda}}","{{link_tiketcom}}","{{google_maps_pin}}","N/A","N/A","N/A","N/A"
